idMunicipio,municipio,idDepartamento
101,Guatemala,1
102,"Santa Catarina Pinula",1
103,"San José Pinula",1
104,"San José del Golfo",1
105,Palencia,1
106,Chinautla,1
107,"San Pedro Ayampuc",1
108,Mixco,1
109,"San Pedro Sacatepéquez",1
110,"San Juan Sacatepéquez",1
111,"San Raymundo",1
112,Chuarrancho,1
113,Fraijanes,1
114,Amatitlán,1
115,"Villa Nueva",1
116,"Villa Canales",1
117,Petapa,1
201,Guastatoya,2
202,Morazán,2
203,"San Agustín Acasaguastlán",2
204,"San Cristóbal Acasguastlan",2
205,"El Jícaro",2
206,Sanarate,2
207,Sansare,2
208,"San Antonio La Paz",2
301,"Antigua Guatemala",3
302,Jocotenango,3
303,Pastores,3
304,Sumpango,3
305,"Santo Domingo Xenacoj",3
306,"Santiago Sacatepéquez",3
307,"San Bartolomé Milpas Altas",3
308,"San Lucas Sacatepéquez",3
309,"Santa Lucía Milpas Altas",3
310,"Magdalena Milpas Altas",3
311,"Santa María de Jesús",3
312,"Ciudad Vieja",3
313,"San Miguel Dueñas",3
314,Alotenango,3
315,"San Antonio Aguas Calientes",3
316,"Santa Catarina Barahona",3
401,Chimaltenango,4
402,"San José Poaquil",4
403,"San Martín Jilotepeque",4
404,Comalapa,4
405,"Santa Apolonia",4
406,"Tecpán Guatemala",4
407,Patzún,4
408,Pochuta,4
409,Patzicía,4
410,"Santa Cruz Balanyá",4
411,Acatenango,4
412,Yepocapa,4
413,"San Andrés Itzapa",4
414,Parramos,4
415,Zaragoza,4
416,"El Tejar",4
501,Escuintla,5
502,"Santa Lucia Cotzulmalguapa",5
503,"La Democracia",5
504,Siquinalá,5
505,Masagua,5
506,Tiquisate,5
507,"La Gomera",5
508,Guanagazapa,5
509,"San José",5
510,Iztapa,5
511,Palín,5
512,"San Vicente Pacaya",5
513,"Nueva Concepción",5
601,Cuilapa,6
602,Barberena,6
603,"Santa Rosa de Lima",6
604,Casillas,6
605,"San Rafael Las Flores",6
606,Oratorio,6
607,"San Juan Tecuaco",6
608,Chiquimulilla,6
609,Taxisco,6
610,"Santa María Ixhuatán",6
611,Guazacapán,6
612,"Santa Cruz Naranjo",6
613,"Pueblo Nuevo Viñas",6
614,"Nueva Santa Rosa",6
701,Sololá,7
702,"San José Chacayá",7
703,"Santa María Visitación",7
704,"Santa Lucía Utatlán",7
705,Nahualá,7
706,"Santa Catarina Ixtahuacán",7
707,"Santa Clara La Laguna",7
708,Concepción,7
709,"San Andrés Semetabaj",7
710,Panajachel,7
711,"Santa Catarina Palapó",7
712,"San Antonio Palapó",7
713,"San Lucas Tolimán",7
714,"Santa Cruz La Laguna",7
715,"San Pablo La Laguna",7
716,"San Marcos La Laguna",7
717,"San Juan La Laguna",7
718,"San Pedro La Laguna",7
719,"Santiago Atitlán",7
801,Totonicapán,8
802,"San Cristóbal Totonicapán",8
803,"San Francisco El Alto",8
804,"San Andrés Xecul",8
805,Momostenango,8
806,"Santa María Chiquimula",8
807,"Santa Lucía La Reforma",8
808,"San Bartolo Aguas Calientes",8
901,Quetzaltenango,9
902,Salcajá,9
903,Olintepeque,9
904,"San Carlos Sija",9
905,Sibilia,9
906,Cabricán,9
907,Cajolá,9
908,"San Miguel Sigüila",9
909,"San Juan Ostuncalco",9
910,"San Mateo",9
911,"Concepción Chiquirichapa",9
912,"San Martín Sacatepéquez",9
913,Almolonga,9
914,Cantel,9
915,Huitán,9
916,Zunil,9
917,Colomba,9
918,"San Francisco La Unión",9
919,"El Palmar",9
920,Coatepeque,9
921,Génova,9
922,"Flores Costa Cuca",9
923,"La Esperanza",9
924,"Palestina de los Altos",9
1001,Mazatenango,10
1002,Cuyotenango,10
1003,"San Francisco Zapotitlán",10
1004,"San Bernandino",10
1005,"San José El Idolo",10
1006,"Santo Domingo Suchitepéquez",10
1007,"San Lorenzo",10
1008,Samayac,10
1009,"San Pablo Jocopila",10
1010,"San Antonio Suchitepéquez",10
1011,"San Miguel Panán",10
1012,"San Gabriel",10
1013,Chicacao,10
1014,Patulul,10
1015,"Santa Bárbara",10
1016,"San Juan Bautista",10
1017,"Santo Tomas La Unión",10
1018,Zunilito,10
1019,"Pueblo Nuevo",10
1020,"Río Bravo",10
1101,Retalhuleu,11
1102,"San Sebastián",11
1103,"Santa Cruz Muluá",11
1104,"San Martín Zapotitlán",11
1105,"San Felipe Retalhuleu",11
1106,"San Andrés Villa Seca",11
1107,Champerico,11
1108,"Nuevo San Carlos",11
1109,"El Asintal",11
1201,"San Marcos",12
1202,"San Pedro Sacatepéquez",12
1203,"San Antonio Sacatepéquez",12
1204,Comitancillo,12
1205,"San Miguel Ixtahuacán",12
1206,"Concepción Tutuapa",12
1207,Tacaná,12
1208,Sibinal,12
1209,Tajumulco,12
1210,Tejutla,12
1211,"San Rafael Pie de la Cuesta",12
1212,"Nuevo Progreso",12
1213,"El Tumbador",12
1214,"El Rodeo",12
1215,Malacatán,12
1216,Catarina,12
1217,Ayutla,12
1218,Ocós,12
1219,"San Pablo",12
1220,"El Quetzal",12
1221,"La Reforma",12
1222,Pajapita,12
1223,Ixchiguán,12
1224,"San José Ojetenam",12
1225,"San Cristóbal Cucho",12
1226,Sipacapa,12
1227,"Esquipulas Palo Gordo",12
1228,"Río Blanco",12
1229,"San Lorenzo",12
1301,Huehuetenango,13
1302,Chiantla,13
1303,Malacatancito,13
1304,Cuilco,13
1305,Nentón,13
1306,"San Pedro Necta",13
1307,Jacaltenango,13
1308,Soloma,13
1309,"San Idelfonso Ixtahuacán",13
1310,"Santa Bárbara",13
1311,"La Libertad",13
1312,"La Democracia",13
1313,"San Miguel Acatán",13
1314,"San Rafael La Independencia",13
1315,"Todos Santos Cuchumatán",13
1316,"San Juan Atitán",13
1317,"Santa Eulalia",13
1318,"San Mateo Ixtatán",13
1319,Colotenango,13
1320,"San Sebastián Huehuetenango",13
1321,Tectitán,13
1322,"Concepción Huista",13
1323,"San Juan Ixcoy",13
1324,"San Antonio Huista",13
1325,"San Sebastián Coatán",13
1326,Barillas,13
1327,Aguacatán,13
1328,"San Rafael Pétzal",13
1329,"San Gaspar Ixchil",13
1330,"Santiago Chimaltenango",13
1331,"Santa Ana Huista",13
1332,"Unión Cantinil",13
1401,"Santa Cruz del Quiché",14
1402,Chiché,14
1403,Chinique,14
1404,Zacualpa,14
1405,Chajul,14
1406,Chichicastenango,14
1407,Patzité,14
1408,"San Antonio Ilotenango",14
1409,"San Pedro Jocopilas",14
1410,Cunén,14
1411,"San Juan Cotzal",14
1412,Joyabaj,14
1413,Nebaj,14
1414,"San Andrés Sajcabajá",14
1415,Uspantán,14
1416,Sacapulas,14
1417,"San Bartolomé Jocotenango",14
1418,Canillá,14
1419,Chicamán,14
1420,Ixcán,14
1421,Pachalum,14
1501,Salamá,15
1502,"San Miguel Chicaj",15
1503,Rabinal,15
1504,Cubulco,15
1505,Granados,15
1506,"El Chol",15
1507,"San Jerónimo",15
1508,Purulhá,15
1601,Cobán,16
1602,"Santa Cruz Verapaz",16
1603,"San Cristóbal Verapaz",16
1604,Tactic,16
1605,Tamahú,16
1606,Tucurú,16
1607,Panzós,16
1608,Senahú,16
1609,"San Pedro Carchá",16
1610,"San Juan Chamelco",16
1611,Lanquín,16
1612,Cahabón,16
1613,Chisec,16
1614,Chahal,16
1615,"Fray Bartolomé de las Casas",16
1616,"Santa Catarina La Tinta",16
1617,Raxruja,16
1701,Flores,17
1702,"San José",17
1703,"San Benito",17
1704,"San Andrés",17
1705,"La Libertad",17
1706,"San Francisco",17
1707,"Santa Ana",17
1708,Dolores,17
1709,"San Luis",17
1710,Sayaxché,17
1711,"Melchor de Mencos",17
1712,Poptún,17
1801,"Puerto Barrios",18
1802,Livingston,18
1803,"El Estor",18
1804,Morales,18
1805,"Los Amates",18
1901,Zacapa,19
1902,Estanzuela,19
1903,"Río Hondo",19
1904,Gualán,19
1905,Teculután,19
1906,Usumatlán,19
1907,Cabañas,19
1908,"San Diego",19
1909,"La Unión",19
1910,Huité,19
2001,Chiquimula,20
2002,"San José La Arada",20
2003,"San Juan la Ermita",20
2004,Jocotán,20
2005,Camotán,20
2006,Olopa,20
2007,Esquipulas,20
2008,"Concepción Las Minas",20
2009,Quetzaltepeque,20
2010,"San Jacinto",20
2011,Ipala,20
2101,Jalapa,21
2102,"San Pedro Pinula",21
2103,"San Luis Jilotepeque",21
2104,"San Manuel Chaparrón",21
2105,"San Carlos Alzatate",21
2106,Monjas,21
2107,Mataquescuintla,21
2201,Jutiapa,22
2202,"El Progreso",22
2203,"Santa Catarina Mita",22
2204,"Agua Blanca",22
2205,"Asunción Mita",22
2206,Yupiltepeque,22
2207,Atescatempa,22
2208,Jerez,22
2209,"El Adelanto",22
2210,Zapotitlán,22
2211,Comapa,22
2212,Jalpatagua,22
2213,Conguaco,22
2214,Moyuta,22
2215,Pasaco,22
2216,"San José Acatempa",22
2217,Quesada,22
